epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.516,0.39745,0.80121,0.63077,0.96531,0.94533,0.97625,0.89786,0.27363,0.40457,0.57873,0.0340254,0.00066561,0.00066561
2,404.886,0.42435,0.65687,0.64249,0.95726,0.93839,0.97463,0.89053,0.29233,0.43788,0.58074,0.0180122,0.00131909,0.00131909
3,610.355,0.41099,0.61764,0.6404,0.9297,0.91818,0.965,0.88471,0.28631,0.47897,0.588,0.00198578,0.00195936,0.00195936
4,818.406,0.39169,0.58188,0.63587,0.98315,0.96089,0.98598,0.93587,0.22612,0.32382,0.56283,0.0019406,0.0019406,0.0019406
5,1025.38,0.36271,0.53675,0.62695,0.96083,0.94948,0.98147,0.92272,0.23888,0.36554,0.56775,0.0019208,0.0019208,0.0019208
6,1243.65,0.34628,0.50222,0.62018,0.97942,0.96871,0.98968,0.94365,0.21734,0.31095,0.5603,0.001901,0.001901,0.001901
7,1472.18,0.33618,0.48465,0.61773,0.98547,0.9565,0.98623,0.94723,0.20497,0.29287,0.55922,0.0018812,0.0018812,0.0018812
8,1694.59,0.32553,0.46668,0.61228,0.98556,0.96848,0.98846,0.95578,0.18057,0.29091,0.55333,0.0018614,0.0018614,0.0018614
9,1927.29,0.30695,0.44191,0.60678,0.9818,0.96369,0.98864,0.95172,0.18847,0.26987,0.55898,0.0018416,0.0018416,0.0018416
10,2159.43,0.29977,0.42703,0.6047,0.98501,0.97007,0.99043,0.96072,0.17082,0.27102,0.55148,0.0018218,0.0018218,0.0018218
11,2395.08,0.29962,0.43281,0.60342,0.9844,0.96728,0.98809,0.96209,0.17566,0.24929,0.5529,0.001802,0.001802,0.001802
12,2633.65,0.29103,0.41329,0.60079,0.98597,0.96728,0.99001,0.96241,0.16872,0.25254,0.55346,0.0017822,0.0017822,0.0017822
13,2852.9,0.28907,0.40924,0.60078,0.9911,0.96967,0.99252,0.96714,0.16266,0.23234,0.55015,0.0017624,0.0017624,0.0017624
14,3071.1,0.28147,0.39722,0.59842,0.98887,0.96449,0.99269,0.96966,0.15065,0.2245,0.55016,0.0017426,0.0017426,0.0017426
15,3286.12,0.27445,0.38346,0.59228,0.99106,0.97311,0.99304,0.96834,0.14763,0.22142,0.54825,0.0017228,0.0017228,0.0017228
16,3502.67,0.27078,0.37752,0.59303,0.9878,0.96945,0.99263,0.9697,0.15039,0.2212,0.54899,0.001703,0.001703,0.001703
17,3719.01,0.27551,0.37584,0.5963,0.98983,0.97048,0.99248,0.97302,0.14549,0.2078,0.54824,0.0016832,0.0016832,0.0016832
18,3934.76,0.26256,0.36802,0.58998,0.98861,0.96989,0.99268,0.96824,0.15028,0.22065,0.54776,0.0016634,0.0016634,0.0016634
19,4151.01,0.26442,0.36392,0.59255,0.99469,0.9722,0.99342,0.97438,0.13989,0.19846,0.54605,0.0016436,0.0016436,0.0016436
20,4355.93,0.26323,0.35721,0.58973,0.98628,0.97805,0.99345,0.97663,0.13658,0.19771,0.54477,0.0016238,0.0016238,0.0016238
21,4557.96,0.25891,0.353,0.59047,0.99287,0.96967,0.99371,0.97413,0.13649,0.1971,0.54638,0.001604,0.001604,0.001604
22,4761.9,0.25389,0.34569,0.58643,0.99273,0.97247,0.99352,0.97474,0.13708,0.19889,0.54552,0.0015842,0.0015842,0.0015842
23,4965.6,0.24809,0.33547,0.58517,0.99135,0.97326,0.99315,0.97501,0.12993,0.18968,0.54378,0.0015644,0.0015644,0.0015644
24,5170.47,0.25094,0.33696,0.58601,0.99192,0.96887,0.99364,0.97734,0.13037,0.1821,0.54389,0.0015446,0.0015446,0.0015446
25,5377.89,0.24893,0.33295,0.58413,0.99147,0.97402,0.9936,0.97674,0.12951,0.18091,0.54451,0.0015248,0.0015248,0.0015248
