epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5766,0.74502,2.86801,2.17768,1.05341,0.61338,0.04902,0.05165,0.00751,0,0,0,0,4.03461,198.25,4.23646,5.55777,0.07525,0.00025,0.00025
2,25.8202,0.83219,2.01321,0.87855,1.11163,0.61338,0.04902,0.05165,0.00751,0,0,0,0,nan,nan,nan,nan,0.0495083,0.000508317,0.000508317
3,39.8595,0.87925,1.93421,0.84166,1.12171,0.61338,0.04902,0.05165,0.00751,0,0,0,0,5.64414,9.91033,7.75929,6.56951,0.0237649,0.000764918,0.000764918
4,54.2811,0.82416,1.88947,0.77518,1.09265,0.02216,0.12745,0.00897,0.00219,0.01152,0.05882,0.00338,0.00068,3.35312,6.96984,26.9931,7.1219,0.0009901,0.0009901,0.0009901
5,67.0722,0.83573,1.86046,0.72389,1.11968,0.01114,0.13725,0.00305,0.00052,0,0,0,0,4.67336,8.39277,41.5365,19.6895,0.0009868,0.0009868,0.0009868
6,80.022,0.78067,1.75622,0.6805,1.11479,0.02164,0.19608,0.00595,0.00091,0,0,0,0,4.28626,6.7501,47.6684,7.72304,0.0009835,0.0009835,0.0009835
7,92.7397,0.72424,1.61884,0.6315,1.0738,0.01693,0.21569,0.00766,0.00128,0.00921,0.06863,0.00443,0.00109,4.34835,4.36009,17.7643,8.22648,0.0009802,0.0009802,0.0009802
8,106.383,0.71455,1.85905,0.62632,1.05178,0.00089,0.03922,0.00051,5e-05,0.00022,0.0098,0.00011,1e-05,4.42948,5.40981,6.4395,7.39837,0.0009769,0.0009769,0.0009769
9,119.907,0.62695,1.77169,0.58114,1.00963,0.03662,0.06863,0.0102,0.00143,0.00037,0.0098,0.00019,6e-05,3.64636,5.65043,10.2478,7.64215,0.0009736,0.0009736,0.0009736
10,135.1,0.61778,1.73942,0.54237,0.99892,0.80515,0.68869,0.86065,0.65957,0.67169,0.42157,0.35227,0.27124,0.87374,3.39258,1.37299,1.28923,0.0009703,0.0009703,0.0009703
11,149.429,0.61187,1.82234,0.51422,1.00063,0.71644,0.81373,0.74426,0.54916,0.43538,0.46873,0.29555,0.22412,0.86073,1.74254,1.31458,1.29307,0.000967,0.000967,0.000967
12,162.201,0.6199,1.79646,0.55246,1.00545,0.09348,0.09804,0.04196,0.0127,0.00169,0.01961,0.00046,0.00012,3.22675,6.11633,4.90064,4.02997,0.0009637,0.0009637,0.0009637
13,174.888,0.59819,1.69904,0.53064,1.00349,0.73937,0.70588,0.78818,0.62382,0.50486,0.46983,0.27802,0.16148,0.78032,1.65803,3.4796,1.15581,0.0009604,0.0009604,0.0009604
14,187.649,0.628,1.76636,0.54201,1.0059,0.92679,0.74471,0.85309,0.67634,0.62065,0.41176,0.3641,0.18305,0.99076,1.58566,1.33122,1.50611,0.0009571,0.0009571,0.0009571
15,200.52,0.5897,1.67577,0.50354,0.99225,0.81411,0.87255,0.92512,0.76888,0.65577,0.43137,0.37645,0.27489,0.79637,1.68379,0.81554,1.26712,0.0009538,0.0009538,0.0009538
16,213.912,0.5529,1.70491,0.47768,0.97514,0.96077,0.86275,0.96026,0.79827,0.61748,0.47059,0.38516,0.28729,0.66879,1.66448,0.83045,1.02069,0.0009505,0.0009505,0.0009505
17,227.351,0.57422,1.73067,0.47954,0.98433,0.90603,0.94524,0.96915,0.8036,0.57427,0.48039,0.39872,0.28935,0.68386,1.60247,0.76676,1.09211,0.0009472,0.0009472,0.0009472
18,240.817,0.59915,1.73684,0.48288,0.989,0.94209,0.93137,0.97939,0.7982,0.64029,0.41176,0.3875,0.19592,0.67417,1.54127,0.63164,1.06868,0.0009439,0.0009439,0.0009439
19,253.695,0.56026,1.72778,0.4803,0.97422,0.82039,0.76129,0.87365,0.72031,0.68142,0.45098,0.44236,0.2274,0.71131,1.74107,1.14035,1.13404,0.0009406,0.0009406,0.0009406
20,266.414,0.5539,1.6651,0.47432,0.97001,0.11299,0.14706,0.03357,0.00765,0,0,0,0,3.91215,6.06405,3.68713,4.84339,0.0009373,0.0009373,0.0009373
21,278.878,0.52406,1.6877,0.48147,0.97575,0.20827,0.02941,0.01454,0.00263,0,0,0,0,3.55805,10.971,5.5817,3.664,0.000934,0.000934,0.000934
22,291.479,0.54142,1.66445,0.45952,0.97336,0.83922,0.63725,0.74599,0.65752,0.13707,0.10784,0.04466,0.01315,0.69297,4.57597,1.32362,1.09659,0.0009307,0.0009307,0.0009307
23,303.945,0.52713,1.63592,0.44723,0.9602,0.89047,0.93137,0.96886,0.81374,0.57504,0.44118,0.37012,0.20137,0.734,1.89533,0.63782,1.14492,0.0009274,0.0009274,0.0009274
24,316.431,0.52517,1.64916,0.44184,0.97565,0.81164,0.83333,0.81035,0.61287,0.51888,0.4902,0.32133,0.22445,0.87189,2.25318,0.85327,1.27756,0.0009241,0.0009241,0.0009241
25,328.98,0.49975,1.64396,0.45095,0.96178,0.90152,0.85294,0.95456,0.80129,0.67105,0.45098,0.36417,0.21948,0.64186,2.3504,0.80358,1.05381,0.0009208,0.0009208,0.0009208
26,341.567,0.49988,1.72431,0.4273,0.94629,0.87989,0.93364,0.96938,0.83449,0.63731,0.4902,0.34679,0.19836,0.56972,1.79712,0.60707,0.99126,0.0009175,0.0009175,0.0009175
27,354.134,0.47871,1.62115,0.41943,0.94155,0.86085,0.97042,0.97132,0.83869,0.56761,0.47059,0.35206,0.26832,0.57916,1.83168,0.67707,1.03981,0.0009142,0.0009142,0.0009142
28,367.552,0.50722,1.61927,0.43289,0.9739,0.27206,0.15686,0.12433,0.03391,0,0,0,0,3.3094,10.2311,4.37805,4.00165,0.0009109,0.0009109,0.0009109
29,380.014,0.51542,1.81569,0.43988,0.95683,0.81701,0.6566,0.77757,0.56797,0.15603,0.08824,0.02449,0.00479,1.17908,6.60299,1.10691,1.57275,0.0009076,0.0009076,0.0009076
30,392.53,0.49981,1.64259,0.43635,0.97175,0.3499,0.28431,0.24855,0.10833,0.01791,0.01961,0.0047,0.00099,2.72661,7.61519,2.67409,2.99481,0.0009043,0.0009043,0.0009043
31,405.1,0.49769,1.68519,0.45149,0.94722,0.60963,0.32353,0.43355,0.36484,0.02252,0.01961,0.00465,0.00082,1.1424,6.95658,3.85944,1.49875,0.000901,0.000901,0.000901
32,417.644,0.47078,1.62742,0.43507,0.94664,0.88992,0.71335,0.84931,0.73743,0.51478,0.41607,0.28051,0.13175,0.60241,3.26176,1.15513,1.10838,0.0008977,0.0008977,0.0008977
33,430.182,0.48619,1.59719,0.42933,0.94947,0.93792,0.94118,0.98071,0.86729,0.65914,0.47059,0.39857,0.227,0.54495,1.67521,0.58494,0.95162,0.0008944,0.0008944,0.0008944
34,442.71,0.49579,1.5642,0.44004,0.95708,0.89033,0.98039,0.96852,0.82065,0.58147,0.47675,0.37238,0.30138,0.55915,2.36364,0.68893,1.00652,0.0008911,0.0008911,0.0008911
35,456.023,0.51234,1.62743,0.43002,0.95151,0.13213,0.2549,0.06765,0.01718,0.00897,0.06201,0.00379,0.00125,2.9934,11.3906,4.78613,3.72225,0.0008878,0.0008878,0.0008878
36,468.573,0.51239,1.69055,0.46571,0.95909,0.89991,0.81373,0.94523,0.81066,0.16148,0.10784,0.03231,0.00858,0.58277,4.37231,0.75552,1.04618,0.0008845,0.0008845,0.0008845
37,481.2,0.49881,1.67116,0.42541,0.96304,0.92133,0.9185,0.97848,0.86822,0.64771,0.45098,0.40528,0.23075,0.51928,1.76886,0.52585,0.97662,0.0008812,0.0008812,0.0008812
38,493.711,0.49146,1.63479,0.43778,0.95807,0.93267,0.83333,0.94425,0.81525,0.56769,0.48039,0.34941,0.27763,0.59704,2.38317,0.6637,1.00665,0.0008779,0.0008779,0.0008779
39,506.221,0.48097,1.59812,0.42258,0.95672,0.83169,0.9902,0.95807,0.82188,0.61529,0.48039,0.38536,0.28186,0.58709,1.91198,0.71888,1.02706,0.0008746,0.0008746,0.0008746
40,518.621,0.46432,1.57731,0.39796,0.95222,0.18044,0.2451,0.11513,0.02801,0.01052,0.19608,0.00703,0.00218,2.76456,5.95821,6.81409,3.37171,0.0008713,0.0008713,0.0008713
41,531.097,0.47145,1.53964,0.41363,0.965,0.26148,0.38879,0.2105,0.13891,0.01274,0.04902,0.00438,0.00097,1.43455,7.41488,6.28738,1.84633,0.000868,0.000868,0.000868
42,543.625,0.4618,1.60636,0.40778,0.93504,0.53439,0.18627,0.24871,0.18969,0.0012,0.02941,0.00062,0.0001,1.77928,4.92447,3.10426,1.94439,0.0008647,0.0008647,0.0008647
43,556.145,0.48504,1.64481,0.41179,0.95126,0.92505,0.93137,0.97972,0.87004,0.56095,0.50104,0.38774,0.21931,0.50329,1.67639,0.53004,0.944,0.0008614,0.0008614,0.0008614
44,568.677,0.48242,1.71016,0.40306,0.95227,0.94138,0.96078,0.98376,0.87135,0.61388,0.47059,0.3558,0.28551,0.5331,1.96206,0.51089,0.98322,0.0008581,0.0008581,0.0008581
45,582.139,0.45399,1.66252,0.40277,0.93524,0.21754,0.21569,0.18341,0.05413,0.00586,0.06863,0.00315,0.0008,2.7781,7.56328,4.01162,2.8666,0.0008548,0.0008548,0.0008548
46,594.66,0.4704,1.56229,0.41041,0.9468,0.19711,0.2549,0.07918,0.02226,0.00318,0.06863,0.00173,0.00064,3.62771,6.94178,3.15533,3.90902,0.0008515,0.0008515,0.0008515
47,607.193,0.4852,1.61762,0.41033,0.95187,0.90438,0.92731,0.97045,0.84128,0.17059,0.13725,0.04382,0.01216,0.55149,4.76839,0.58956,0.98407,0.0008482,0.0008482,0.0008482
48,619.71,0.45098,1.59297,0.3987,0.94206,0.97933,0.92903,0.99193,0.87786,0.52317,0.53922,0.39425,0.16096,0.50378,2.90946,0.55983,0.98724,0.0008449,0.0008449,0.0008449
49,632.275,0.43485,1.50293,0.38685,0.935,0.95786,0.89134,0.97668,0.88617,0.65213,0.45949,0.3845,0.25432,0.4595,1.93102,0.5386,0.93908,0.0008416,0.0008416,0.0008416
